"Date","Price","Open","High","Low","Vol.","Change %"
"12/04/2019","13,560.99","13,459.18","13,572.00","13,420.31","","0.86%"
"12/03/2019","13,445.55","13,531.84","13,582.69","13,423.89","","-0.54%"
"12/02/2019","13,518.37","13,578.58","13,600.09","13,461.44","","-0.62%"
"11/29/2019","13,603.33","13,687.88","13,738.60","13,552.46","","-0.53%"
"11/28/2019","13,676.18","13,668.11","13,693.86","13,618.03","","0.21%"
"11/27/2019","13,647.41","13,568.44","13,663.70","13,553.37","","0.70%"
"11/26/2019","13,552.89","13,621.68","13,711.61","13,514.14","","-0.28%"
"11/25/2019","13,590.56","13,418.09","13,611.90","13,398.00","","1.42%"
"11/22/2019","13,400.50","13,446.84","13,542.28","13,343.19","","-0.15%"
"11/21/2019","13,421.06","13,496.43","13,542.04","13,409.09","","-0.38%"
"11/20/2019","13,472.02","13,245.68","13,559.74","13,213.01","","2.01%"
"11/19/2019","13,206.86","13,187.88","13,250.49","13,180.74","","0.36%"
"11/18/2019","13,160.07","13,039.52","13,211.08","13,032.57","","1.21%"
"11/15/2019","13,002.75","12,951.67","13,071.92","12,866.30","11.86M","0.62%"
"11/14/2019","12,922.97","12,956.83","12,988.52","12,858.14","14.34M","-0.26%"
"11/13/2019","12,957.23","13,127.12","13,204.23","12,939.66","2.75M","-1.29%"
"11/11/2019","13,126.16","13,084.32","13,163.34","13,002.53","2.47M","0.28%"
"11/08/2019","13,089.52","13,346.57","13,346.57","13,072.20","2.82M","-1.70%"
"11/07/2019","13,315.65","13,298.13","13,340.27","13,204.20","7.56M","0.64%"
"11/06/2019","13,231.15","13,214.02","13,413.55","13,179.99","5.11M","0.33%"
"11/05/2019","13,187.93","13,339.29","13,393.14","13,160.87","6.70M","-1.00%"
"11/04/2019","13,321.11","13,330.35","13,443.53","13,305.92","4.05M","0.16%"
"11/01/2019","13,300.13","13,249.92","13,356.02","13,246.58","3.74M","0.54%"
"10/31/2019","13,229.05","13,129.81","13,270.39","13,129.28","2.78M","0.93%"
"10/30/2019","13,107.34","13,155.28","13,170.46","13,065.53","2.69M","0.04%"
"10/29/2019","13,101.45","12,995.47","13,153.74","12,990.17","2.44M","1.58%"
"10/25/2019","12,897.86","12,893.25","12,943.30","12,757.76","3.93M","0.08%"
"10/24/2019","12,887.81","12,872.41","12,935.25","12,797.28","3.93M","0.21%"
"10/23/2019","12,860.61","12,895.53","12,899.38","12,822.66","4.11M","0.22%"
"10/22/2019","12,831.86","12,645.05","12,902.30","12,639.88","2.53M","1.56%"
"10/18/2019","12,635.07","12,516.36","12,673.55","12,480.00","4.12M","1.06%"
"10/17/2019","12,503.06","12,399.84","12,518.07","12,351.26","1.85M","0.84%"
"10/16/2019","12,399.04","12,360.79","12,410.49","12,319.24","2.23M","0.44%"
"10/15/2019","12,344.78","12,274.90","12,365.91","12,254.73","2.47M","0.71%"
"10/14/2019","12,258.08","12,166.45","12,336.21","12,165.31","58.86M","0.87%"
"10/11/2019","12,152.32","12,116.79","12,172.42","11,973.53","3.54M","0.52%"
"10/10/2019","12,089.61","12,059.50","12,125.63","11,979.48","3.92M","0.00%"
"10/09/2019","12,089.46","12,004.36","12,109.59","11,873.70","3.08M","0.94%"
"10/07/2019","11,976.39","12,314.90","12,314.90","11,954.75","4.68M","-2.43%"
"10/04/2019","12,274.27","12,388.67","12,440.10","12,257.16","1.79M","-0.55%"
"10/03/2019","12,341.68","12,328.56","12,375.37","12,194.06","2.17M","-0.13%"
"10/01/2019","12,357.14","12,508.18","12,555.68","12,254.02","2.90M","-1.09%"
"09/30/2019","12,493.53","12,694.83","12,694.83","12,434.26","2.56M","-1.57%"
"09/27/2019","12,692.61","12,910.92","12,913.99","12,674.81","3.17M","-1.55%"
"09/26/2019","12,892.82","12,823.44","12,903.14","12,813.08","2.86M","0.66%"
"09/25/2019","12,808.18","12,985.60","12,990.46","12,780.15","2.88M","-1.47%"
"09/24/2019","12,999.61","12,962.24","13,094.61","12,886.46","4.18M","0.24%"
"09/23/2019","12,967.88","13,123.09","13,147.32","12,916.99","3.98M","-0.37%"
"09/20/2019","13,016.57","12,752.47","13,044.82","12,664.99","3.00M","2.40%"
"09/19/2019","12,711.03","12,893.91","12,901.27","12,693.36","1.70M","-1.33%"
"09/18/2019","12,882.46","12,906.42","12,915.93","12,811.40","1.56M","0.27%"
"09/17/2019","12,847.65","13,089.27","13,120.52","12,824.93","2.05M","-1.71%"
"09/16/2019","13,071.02","13,013.44","13,124.18","12,966.41","6.50M","0.37%"
"09/13/2019","13,022.70","13,128.58","13,128.58","12,933.76","2.58M","-0.38%"
"09/12/2019","13,072.21","13,112.25","13,153.17","13,030.78","3.59M","0.11%"
"09/11/2019","13,058.32","13,038.98","13,134.46","13,032.29","2.84M","0.31%"
"09/09/2019","13,017.57","12,960.65","13,056.81","12,957.14","2.67M","0.50%"
"09/06/2019","12,952.63","12,829.17","12,971.02","12,829.17","2.43M","0.29%"
"09/05/2019","12,915.52","12,797.84","12,930.27","12,787.68","1.97M","1.11%"
"09/04/2019","12,773.12","12,715.46","12,797.58","12,562.87","3.51M","0.01%"
"09/03/2019","12,771.93","12,870.14","12,932.71","12,731.73","3.67M","-0.80%"
"08/30/2019","12,875.40","12,673.84","12,923.77","12,630.18","3.18M","1.69%"
"08/29/2019","12,661.94","12,549.22","12,679.28","12,470.00","2.70M","1.50%"
"08/28/2019","12,475.13","12,571.64","12,669.64","12,431.35","2.20M","-0.68%"
"08/27/2019","12,560.87","12,592.54","12,647.91","12,541.19","2.04M","0.10%"
"08/26/2019","12,548.73","12,521.71","12,569.15","12,356.69","2.13M","0.71%"
"08/23/2019","12,460.77","12,366.69","12,476.82","12,182.39","2.40M","0.92%"
"08/22/2019","12,347.70","12,404.64","12,459.14","12,315.02","1.97M","-0.48%"
"08/21/2019","12,407.55","12,528.18","12,543.14","12,385.96","2.46M","-0.97%"
"08/20/2019","12,528.67","12,583.65","12,587.45","12,448.14","3.17M","-0.14%"
"08/19/2019","12,545.62","12,541.67","12,672.36","12,527.11","3.06M","0.56%"
"08/16/2019","12,476.15","12,529.47","12,547.29","12,396.13","2.67M","-0.29%"
"08/14/2019","12,512.57","12,605.29","12,624.26","12,313.62","3.05M","-0.52%"
"08/13/2019","12,577.85","12,692.02","12,766.92","12,518.81","3.08M","-0.91%"
"08/09/2019","12,693.67","12,748.30","12,802.49","12,662.30","3.17M","-0.07%"
"08/08/2019","12,702.20","12,604.71","12,733.72","12,542.57","2.77M","1.05%"
"08/07/2019","12,570.50","12,529.12","12,695.10","12,520.01","2.23M","0.51%"
"08/06/2019","12,506.46","12,415.11","12,581.25","12,404.85","2.33M","0.52%"
"08/05/2019","12,441.64","12,501.32","12,522.40","12,347.46","3.59M","-0.91%"
"08/02/2019","12,555.44","12,560.00","12,662.02","12,436.79","2.13M","-0.25%"
"08/01/2019","12,587.20","12,669.69","12,687.05","12,477.28","2.90M","-0.92%"
"07/31/2019","12,704.38","12,587.50","12,720.31","12,482.21","3.08M","0.95%"
"07/30/2019","12,584.62","12,821.52","13,001.25","12,552.83","4.21M","-1.66%"
"07/29/2019","12,797.40","12,988.70","12,990.51","12,750.38","1.66M","-1.25%"
"07/26/2019","12,959.25","12,867.95","12,985.00","12,790.31","2.03M","0.93%"
"07/25/2019","12,840.03","12,646.62","12,863.55","12,626.04","2.24M","1.61%"
"07/24/2019","12,636.19","12,790.83","12,810.46","12,595.63","1.71M","-1.13%"
"07/23/2019","12,780.22","12,841.01","12,874.02","12,752.81","1.73M","-0.34%"
"07/22/2019","12,823.75","12,770.14","12,892.27","12,672.91","2.58M","0.40%"
"07/19/2019","12,772.44","13,011.07","13,081.75","12,758.13","9.05M","-1.79%"
"07/18/2019","13,005.36","13,155.54","13,155.65","12,995.21","2.61M","-1.11%"
"07/17/2019","13,151.99","13,198.16","13,205.75","13,116.99","1.99M","-0.17%"
"07/16/2019","13,174.00","13,004.99","13,191.86","12,972.80","2.30M","1.24%"
"07/15/2019","13,012.26","12,995.48","13,072.16","12,945.97","3.23M","0.69%"
"07/12/2019","12,923.39","12,891.74","12,965.78","12,846.54","2.12M","0.50%"
"07/11/2019","12,859.49","12,800.19","12,909.90","12,790.80","1.94M","0.82%"
"07/10/2019","12,755.39","12,802.79","12,819.59","12,722.61","1.90M","-0.20%"
"07/09/2019","12,781.06","12,596.19","12,833.09","12,553.91","3.24M","1.81%"
"07/08/2019","12,554.00","12,696.81","12,696.81","12,533.78","2.25M","-1.30%"
"07/05/2019","12,719.23","12,906.91","12,933.43","12,703.43","4.83M","-1.31%"
"07/04/2019","12,888.37","12,980.17","12,999.38","12,871.29","1.38M","-0.37%"
"07/03/2019","12,936.35","12,976.31","12,976.31","12,880.51","1.95M","-0.09%"
"07/02/2019","12,947.87","13,051.63","13,063.47","12,900.83","1.58M","-0.63%"
"07/01/2019","13,029.99","12,902.15","13,046.89","12,902.15","1.67M","1.09%"
"06/28/2019","12,889.34","12,917.44","13,024.31","12,845.53","2.27M","0.06%"
"06/27/2019","12,882.06","12,881.61","12,956.41","12,813.43","3.33M","0.10%"
"06/26/2019","12,869.50","12,723.05","12,901.04","12,709.94","2.75M","1.06%"
"06/25/2019","12,734.19","12,716.66","12,750.80","12,625.73","2.00M","0.31%"
"06/24/2019","12,694.94","12,703.31","12,723.15","12,641.58","2.01M","0.06%"
"06/21/2019","12,687.91","12,797.30","12,807.63","12,654.74","2.81M","-0.84%"
"06/20/2019","12,795.83","12,487.02","12,809.55","12,448.23","3.89M","2.27%"
"06/19/2019","12,511.23","12,688.66","12,729.05","12,461.51","3.33M","-1.29%"
"06/18/2019","12,674.68","12,736.36","12,806.11","12,634.71","2.29M","-0.55%"
"06/17/2019","12,745.06","12,921.91","12,951.29","12,719.05","4.49M","-1.19%"
"06/14/2019","12,899.08","13,014.44","13,014.93","12,790.64","2.97M","-0.84%"
"06/13/2019","13,007.76","13,043.77","13,059.26","12,896.29","1.68M","-0.28%"
"06/12/2019","13,044.91","13,174.82","13,174.82","13,017.64","2.12M","-0.63%"
"06/11/2019","13,128.12","13,080.41","13,172.02","12,976.45","3.08M","0.29%"
"06/10/2019","13,090.75","13,100.68","13,126.83","13,013.59","2.98M","0.40%"
"06/07/2019","13,038.91","13,110.74","13,113.92","12,889.63","2.42M","-0.53%"
"06/06/2019","13,108.01","13,320.40","13,325.03","13,086.71","3.06M","-1.39%"
"06/04/2019","13,292.63","13,426.91","13,508.13","13,238.17","2.49M","-0.99%"
"06/03/2019","13,425.53","13,300.93","13,441.69","13,221.39","2.91M","0.91%"
"05/31/2019","13,305.06","13,356.20","13,418.74","13,255.76","4.17M","-0.16%"
"05/30/2019","13,326.44","13,353.36","13,392.10","13,299.15","4.00M","0.10%"
"05/29/2019","13,312.60","13,401.27","13,417.84","13,268.26","5.97M","-0.44%"
