"Date","Price","Open","High","Low","Vol.","Change %"
"09/19/2014","5,914.87","5,854.14","5,957.82","5,853.77","12.38K","1.13%"
"09/18/2014","5,848.77","5,783.15","5,860.10","5,757.20","13.95K","0.83%"
"09/17/2014","5,800.85","5,761.87","5,809.41","5,748.52","13.13K","1.26%"
"09/16/2014","5,728.46","5,782.05","5,796.88","5,720.78","19.22K","-0.52%"
"09/15/2014","5,758.58","5,790.52","5,790.96","5,743.22","23.11K","-0.58%"
"09/12/2014","5,792.26","5,790.65","5,810.56","5,768.16","25.52K","0.24%"
"09/11/2014","5,778.63","5,801.04","5,817.26","5,749.85","11.60K","-0.12%"
"09/10/2014","5,785.34","5,834.23","5,847.29","5,778.77","11.51K","-0.86%"
"09/09/2014","5,835.47","5,860.96","5,873.14","5,821.34","10.04K","-0.45%"
"09/08/2014","5,861.66","5,810.87","5,876.79","5,810.87","17.78K","1.20%"
"09/05/2014","5,792.29","5,799.29","5,852.05","5,770.00","21.97K","0.24%"
"09/04/2014","5,778.57","5,806.42","5,813.28","5,749.00","112.54K","-0.42%"
"09/03/2014","5,803.07","5,683.67","5,818.81","5,679.46","9.03K","2.21%"
"09/02/2014","5,677.69","5,640.76","5,697.93","5,616.48","14.99K","0.76%"
"09/01/2014","5,634.92","5,610.35","5,649.41","5,609.71","6.54K","0.73%"
"08/28/2014","5,594.31","5,624.03","5,628.12","5,580.54","5.32K","-0.34%"
"08/27/2014","5,613.51","5,591.98","5,626.47","5,573.65","6.19K","0.59%"
"08/26/2014","5,580.34","5,580.13","5,616.55","5,543.93","6.09K","0.03%"
"08/25/2014","5,578.89","5,548.94","5,592.39","5,532.74","5.21K","0.73%"
"08/22/2014","5,538.58","5,490.73","5,548.71","5,489.61","6.03K","0.97%"
"08/21/2014","5,485.16","5,501.26","5,524.11","5,477.20","5.86K","-0.18%"
"08/20/2014","5,495.21","5,515.00","5,530.07","5,492.03","8.16K","0.10%"
"08/19/2014","5,489.93","5,517.28","5,525.97","5,479.67","8.54K","-0.36%"
"08/18/2014","5,509.55","5,498.36","5,516.22","5,474.83","7.03K","0.26%"
"08/14/2014","5,495.44","5,506.38","5,532.79","5,485.61","6.17K","-0.05%"
"08/13/2014","5,498.11","5,488.27","5,536.64","5,476.49","8.11K","0.16%"
"08/12/2014","5,489.55","5,510.83","5,516.78","5,453.81","5.52K","-0.05%"
"08/11/2014","5,492.21","5,500.32","5,514.51","5,476.15","3.68K","0.49%"
"08/08/2014","5,465.36","5,464.35","5,492.61","5,448.06","6.18K","-0.29%"
"08/07/2014","5,481.31","5,495.39","5,513.75","5,471.37","5.20K","-1.14%"
"08/06/2014","5,544.66","5,546.45","5,594.05","5,532.67","8.91K","0.10%"
"08/05/2014","5,539.11","5,536.44","5,559.83","5,494.27","7.37K","0.30%"
"08/04/2014","5,522.56","5,447.68","5,533.31","5,437.31","6.65K","1.73%"
"08/01/2014","5,428.62","5,468.47","5,502.58","5,418.06","9.35K","-1.08%"
"07/31/2014","5,488.13","5,509.38","5,516.22","5,478.47","6.55K","-0.44%"
"07/30/2014","5,512.38","5,503.08","5,524.60","5,490.25","7.52K","0.43%"
"07/28/2014","5,488.98","5,472.66","5,498.10","5,451.49","4.20K","0.18%"
"07/25/2014","5,479.05","5,490.18","5,500.07","5,433.97","7.06K","-0.68%"
"07/24/2014","5,516.50","5,491.77","5,527.55","5,470.03","7.81K","0.64%"
"07/23/2014","5,481.19","5,406.27","5,487.36","5,403.25","10.90K","1.74%"
"07/22/2014","5,387.62","5,295.58","5,392.30","5,294.08","17.85K","2.02%"
"07/21/2014","5,281.06","5,295.08","5,320.17","5,269.75","9.21K","-0.09%"
