"Date","Price","Open","High","Low","Vol.","Change %"
"10/08/2012","2,108.95","2,117.80","2,125.60","2,103.45","","-0.45%"
"10/05/2012","2,118.40","2,133.70","2,139.60","2,103.85","","-0.27%"
"10/04/2012","2,124.15","2,120.25","2,135.95","2,120.25","","0.46%"
"10/03/2012","2,114.35","2,116.00","2,126.25","2,112.70","","-0.14%"
"10/01/2012","2,117.35","2,113.95","2,121.25","2,112.25","","0.18%"
"09/28/2012","2,113.65","2,099.65","2,123.80","2,099.65","","1.15%"
"09/27/2012","2,089.70","2,075.60","2,103.10","2,075.60","","0.85%"
"09/26/2012","2,072.05","2,067.75","2,078.25","2,062.45","","-0.05%"
"09/25/2012","2,073.15","2,072.25","2,080.00","2,061.70","","0.27%"
"09/24/2012","2,067.50","2,058.80","2,074.50","2,058.80","","0.58%"
"09/21/2012","2,055.60","2,030.30","2,062.15","2,030.30","","1.70%"
"09/20/2012","2,021.25","2,010.50","2,031.50","2,009.10","","-0.06%"
"09/18/2012","2,022.45","2,015.10","2,029.40","2,005.20","","0.50%"
"09/17/2012","2,012.30","2,021.85","2,030.15","2,006.55","","0.22%"
"09/14/2012","2,007.95","2,006.20","2,017.15","2,005.15","","0.82%"
"09/13/2012","1,991.70","1,988.25","1,998.70","1,988.25","","0.13%"
"09/12/2012","1,989.05","1,989.80","1,994.45","1,984.35","","0.08%"
"09/11/2012","1,987.55","1,980.30","1,989.45","1,975.20","","0.10%"
"09/10/2012","1,985.65","1,977.40","1,986.60","1,975.30","","0.41%"
"09/08/2012","1,977.45","1,972.15","1,979.15","1,971.60","","0.27%"
"09/07/2012","1,972.15","1,965.95","1,974.40","1,962.65","","1.01%"
"09/06/2012","1,952.45","1,956.60","1,958.35","1,945.35","","-0.34%"
"09/05/2012","1,959.10","1,947.45","1,960.90","1,946.10","","0.27%"
"09/04/2012","1,953.90","1,937.25","1,955.60","1,937.25","","0.73%"
"09/03/2012","1,939.70","1,938.10","1,948.20","1,935.05","","0.17%"
"08/31/2012","1,936.45","1,947.85","1,950.65","1,932.65","","-0.76%"
"08/30/2012","1,951.35","1,941.10","1,962.40","1,935.75","","0.29%"
"08/29/2012","1,945.65","1,956.00","1,961.00","1,942.70","","-0.51%"
"08/28/2012","1,955.65","1,957.95","1,965.20","1,944.05","","-0.15%"
"08/27/2012","1,958.50","1,965.10","1,972.75","1,957.10","","-0.14%"
"08/24/2012","1,961.15","1,962.80","1,964.20","1,949.85","","-0.30%"
"08/23/2012","1,967.05","1,967.00","1,975.55","1,962.10","","-0.01%"
"08/22/2012","1,967.20","1,969.15","1,976.75","1,965.55","","-0.42%"
"08/21/2012","1,975.40","1,961.25","1,977.00","1,959.40","","0.74%"
"08/17/2012","1,960.95","1,960.55","1,973.15","1,951.30","","0.19%"
"08/16/2012","1,957.25","1,964.20","1,972.60","1,955.60","","-0.27%"
"08/14/2012","1,962.60","1,960.75","1,965.50","1,951.10","","0.15%"
"08/13/2012","1,959.75","1,940.90","1,962.00","1,940.90","","0.97%"
"08/10/2012","1,940.85","1,940.35","1,947.50","1,931.30","","-0.13%"
"08/09/2012","1,943.45","1,940.45","1,951.75","1,938.15","","0.26%"
"08/08/2012","1,938.35","1,947.85","1,953.50","1,934.50","","-0.41%"
"08/07/2012","1,946.30","1,939.65","1,951.05","1,938.10","","0.35%"
"08/06/2012","1,939.55","1,943.65","1,950.65","1,937.90","","0.36%"
"08/03/2012","1,932.65","1,929.15","1,935.70","1,921.00","","-0.17%"
"08/02/2012","1,935.95","1,927.70","1,937.80","1,926.50","","0.35%"
"08/01/2012","1,929.20","1,927.50","1,934.45","1,921.85","","0.07%"
"07/31/2012","1,927.80","1,931.10","1,934.80","1,916.15","","-0.09%"
"07/30/2012","1,929.60","1,905.50","1,932.00","1,905.50","","1.44%"
"07/27/2012","1,902.15","1,911.10","1,915.45","1,897.65","","0.51%"
"07/26/2012","1,892.55","1,911.80","1,916.55","1,889.00","","-0.76%"
"07/25/2012","1,907.10","1,916.00","1,916.55","1,894.85","","-0.61%"
"07/24/2012","1,918.90","1,906.70","1,920.70","1,903.90","","0.89%"
"07/23/2012","1,901.90","1,925.15","1,925.15","1,900.90","","-1.76%"
"07/20/2012","1,936.05","1,919.85","1,938.20","1,919.85","","0.41%"
"07/19/2012","1,928.05","1,942.80","1,945.50","1,926.20","","-0.61%"
"07/18/2012","1,939.85","1,924.90","1,942.10","1,910.60","","0.83%"
"07/17/2012","1,923.85","1,933.60","1,939.95","1,920.00","","-0.20%"
"07/16/2012","1,927.80","1,928.30","1,941.30","1,925.45","","0.14%"
"07/13/2012","1,925.15","1,929.55","1,939.20","1,922.40","","-0.14%"
"07/12/2012","1,927.80","1,931.85","1,936.90","1,925.20","","-0.50%"
"07/11/2012","1,937.40","1,946.10","1,949.75","1,935.75","","-0.76%"
"07/10/2012","1,952.20","1,933.50","1,954.80","1,933.50","","1.04%"
"07/09/2012","1,932.05","1,952.85","1,952.85","1,928.65","","-1.36%"
"07/06/2012","1,958.65","1,967.50","1,968.65","1,954.85","","-0.46%"
"07/05/2012","1,967.70","1,960.45","1,970.45","1,960.20","","0.15%"
"07/04/2012","1,964.70","1,961.60","1,966.15","1,955.85","","0.41%"
"07/03/2012","1,956.75","1,947.90","1,962.50","1,947.60","","0.67%"
"07/02/2012","1,943.65","1,946.85","1,952.45","1,940.85","","-0.03%"
"06/29/2012","1,944.20","1,912.85","1,946.55","1,912.85","","2.27%"
"06/28/2012","1,901.05","1,902.35","1,905.65","1,890.35","","0.18%"
"06/27/2012","1,897.55","1,898.55","1,903.75","1,892.70","","0.40%"
"06/26/2012","1,889.90","1,887.55","1,893.95","1,879.20","","0.10%"
"06/25/2012","1,887.95","1,900.45","1,914.40","1,885.25","","-0.53%"
"06/22/2012","1,898.10","1,888.20","1,905.20","1,883.95","","0.01%"
"06/21/2012","1,897.85","1,879.70","1,900.75","1,878.35","","0.80%"
"06/20/2012","1,882.75","1,878.80","1,888.60","1,877.55","","0.34%"
"06/19/2012","1,876.30","1,862.70","1,878.70","1,861.20","","0.45%"
"06/18/2012","1,867.85","1,891.25","1,900.00","1,862.90","","-0.88%"
"06/15/2012","1,884.40","1,865.15","1,886.90","1,864.40","","1.22%"
"06/14/2012","1,861.65","1,871.10","1,885.50","1,859.00","","-0.66%"
"06/13/2012","1,874.05","1,875.05","1,886.00","1,869.40","","-0.15%"
"06/12/2012","1,876.80","1,849.45","1,880.65","1,848.65","","1.03%"
"06/11/2012","1,857.75","1,865.75","1,879.75","1,853.65","","-0.06%"
"06/08/2012","1,858.95","1,851.20","1,863.40","1,839.00","","0.13%"
"06/07/2012","1,856.55","1,839.55","1,858.60","1,837.95","","1.33%"
"06/06/2012","1,832.20","1,789.85","1,835.50","1,789.85","","2.81%"
"06/05/2012","1,782.10","1,789.90","1,797.50","1,777.20","","-0.09%"
"06/04/2012","1,783.75","1,791.35","1,791.35","1,774.00","","-0.94%"
"06/01/2012","1,800.70","1,825.30","1,826.00","1,797.90","","-1.54%"
"05/31/2012","1,828.95","1,816.95","1,831.55","1,813.25","","-0.02%"
"05/30/2012","1,829.25","1,830.70","1,837.30","1,822.95","","-0.22%"
"05/29/2012","1,833.30","1,836.45","1,839.70","1,829.15","","0.05%"
"05/28/2012","1,832.45","1,812.25","1,835.05","1,812.25","","1.32%"
"05/25/2012","1,808.55","1,811.80","1,817.50","1,804.80","","-0.27%"
"05/24/2012","1,813.50","1,791.75","1,818.05","1,784.40","","1.01%"
"05/23/2012","1,795.30","1,802.55","1,803.45","1,784.20","","-0.85%"
"05/22/2012","1,810.70","1,844.20","1,848.65","1,807.95","","-1.29%"
"05/21/2012","1,834.40","1,828.10","1,846.10","1,828.10","","0.37%"
"05/18/2012","1,827.60","1,818.10","1,832.25","1,806.45","","-0.40%"
"05/17/2012","1,834.90","1,846.90","1,867.35","1,831.10","","-0.24%"
"05/16/2012","1,839.40","1,848.10","1,848.80","1,831.20","","-1.24%"
"05/15/2012","1,862.55","1,849.40","1,867.20","1,844.35","","0.17%"
"05/14/2012","1,859.45","1,851.60","1,863.45","1,847.30","","0.48%"
"05/11/2012","1,850.60","1,857.40","1,863.95","1,840.00","","-0.75%"
"05/10/2012","1,864.65","1,867.40","1,890.75","1,861.65","","-0.17%"
"05/09/2012","1,867.80","1,866.55","1,878.55","1,862.20","","-0.16%"
"05/08/2012","1,870.70","1,905.65","1,915.25","1,866.35","","-1.53%"
"05/07/2012","1,899.75","1,878.95","1,908.55","1,863.00","","0.36%"
"05/04/2012","1,892.85","1,916.95","1,916.95","1,889.90","","-1.56%"
"05/03/2012","1,922.90","1,934.50","1,935.65","1,920.45","","-1.10%"
"05/02/2012","1,944.30","1,950.20","1,957.80","1,939.80","","0.21%"
"04/30/2012","1,940.15","1,934.40","1,942.60","1,932.55","","0.81%"
"04/27/2012","1,924.55","1,927.25","1,940.05","1,918.10","","-0.13%"
"04/26/2012","1,927.10","1,941.85","1,945.45","1,923.85","","-0.57%"
"04/25/2012","1,938.20","1,928.85","1,946.60","1,923.30","","0.31%"
